in_tSpDay,in_tSpNight,in_thetaLampMax,in_heatDeadZone,in_rhMax,month_sin,month_cos,out_mean_tAir_C,out_mean_rh_pct,out_cost_total_usd_m2
17.41888282357948,13.969181226361005,0.1953220676158165,16.93416465286681,93.18235385490453,1.2246467991473532e-16,-1.0,30.941645,47.217495,-0.038409855
21.730944342647987,14.851486487612311,13.37062329854069,17.238108271014237,93.71528888767695,1.2246467991473532e-16,-1.0,33.976974,39.6107,-0.035444636
21.99113530282831,15.195011187999231,4.918619566149151,18.531655994789496,93.60036679181536,1.2246467991473532e-16,-1.0,34.545845,40.148655,-0.028282864
21.859077959432035,14.578893427944426,20.567043532877754,18.839513822930172,93.94199937696128,1.2246467991473532e-16,-1.0,34.766804,40.403835,-0.013349149
21.73805766609301,14.973768115769165,15.498491027950656,18.796108971917665,78.24201287244432,-0.4999999999999998,-0.8660254037844388,34.816837,44.341,-0.010114784
21.717794369969273,21.717794369969273,1.0497819537026574,18.839825233702634,92.9838040439297,1.2246467991473532e-16,-1.0,34.999084,41.10133,-0.0045002624
21.850831122251567,17.712168445703675,16.060992462603533,19.34151309052727,93.87919265429674,1.2246467991473532e-16,-1.0,35.074883,40.459084,-0.003863026
21.918391040659053,19.67347444121392,2.448640096405625,18.719547264195004,77.83218731075645,-0.4999999999999998,-0.8660254037844388,35.21407,45.625412,-0.0023285463
20.89302771407383,18.081117129129645,24.153766844257298,19.831954707831922,74.3539567655968,1.2246467991473532e-16,-1.0,35.304253,40.61779,0.019172482
20.3433542213621,19.292236462822682,12.929806864007574,19.843082432976125,75.34384466188044,1.2246467991473532e-16,-1.0,35.33708,42.91833,0.02669455
