sim_id,simulation_days,start_day,start_month,in_tSpDay,in_tSpNight,in_thetaLampMax,in_heatDeadZone,in_rhMax,out_yield_kg_m2,out_energy_heat_MJ_m2,out_energy_light_MJ_m2,out_energy_total_MJ_m2,out_water_L_m2,out_mean_tAir_C,out_min_tAir_C,out_mean_rh_pct,out_mean_tCan_C,out_final_cFruit,out_cost_heat_usd_m2,out_cost_light_usd_m2,out_cost_water_usd_m2,out_cost_total_usd_m2,out_cost_per_kg_yield
1,30,16,1,11.803546800941012,11.803546800941012,2.684719039421873,19.890149165738087,93.21313647982075,1.3300546209906e-96,46.67667247141247,1.112636779434756,47.78930925084723,27.768895146095268,14.270611999841796,6.895526602959482,83.85028888618723,14.770124598002242,50182.58967331722,0.3672193189694061,0.03430630069923831,0.03550897027928694,0.4370345899479314,
2,30,283,10,19.35821648004968,12.605343266272683,13.340600245191851,17.7257882520948,80.6160245580839,1.250893097234859e-84,43.17738090572947,2.527170062199953,45.70455096792942,40.23573828877473,17.993797076990504,9.525301831841515,79.88162320095567,18.365106376993037,79370.61607773136,0.33968934741000434,0.07792107691783189,0.051450719502686836,0.46906114383052305,
0,30,254,9,18.75827129459598,15.861094651332177,32.16252263224545,15.86711186230954,81.58873119406461,9.400207161211375e-91,5.362243152379635,4.0616751321586655,9.4239182845383,49.419448299253865,25.0028606660719,15.173430607534389,71.95494720920422,25.359608715392216,64018.869149762024,0.0421863679286739,0.12523498324155885,0.0631942218674739,0.23061557303770663,
7,30,237,8,18.25658682018117,18.25658682018117,19.86503192615067,10.999801054952336,76.30243492361569,2.6733591542702157e-84,7.814875431239751,3.817885670256881,11.632761101496632,61.067316812613626,25.11814666720537,16.5,60.008995897424455,25.480167001938522,80534.05744945098,0.06148195836899519,0.11771814149958718,0.07808872215932626,0.25728882202790865,
6,30,327,11,18.41537054109049,15.82783867563179,25.151082722321483,10.894062778910417,76.96496916457575,3.8785620052062966e-79,90.5431692097789,34.886332292572526,125.42950150235143,38.830929976845844,16.180774927144437,8.913812296682368,80.61571955987338,15.91061282011549,92548.22812944914,0.7123301463897296,1.0756619123543196,0.049654346390471296,1.8376464051345205,
8,30,53,2,16.811098925564007,14.257458567582235,13.497233361842936,13.409319625552433,73.81881797367404,3.0268321142240023e-63,64.86555810421635,0.0,64.86555810421635,65.6627932671811,17.100785749074653,8.188125490406367,77.48885556056835,17.763967414852523,133940.03249704817,0.5103167130473892,0.0,0.08396510420426856,0.5942818172516577,
4,30,138,5,10.648547292904713,10.648547292904713,27.854106023202814,5.382949965722481,75.74260077584405,2.533222398197612e-42,3.28858767754707,0.0,3.28858767754707,136.11351096130178,18.888919333450954,10.001238208661368,64.39606833907686,19.598170728828695,186034.969161166,0.025872301159848985,0.0,0.1740526798025629,0.19992498096241187,
3,30,193,7,11.102195402303488,11.102195402303488,6.30608348310707,6.455923087717972,82.84633846957445,7.755069481164816e-40,6.214438325612387e-12,0.0,6.214438325612387e-12,105.1726694490678,22.868407592832792,13.275161628327508,64.23095109917766,23.608778825841355,191486.87081825355,4.889084180339602e-14,0.0,0.13448764072218972,0.1344876407222386,
9,30,34,2,19.241103117984164,13.229796926310954,14.110394919205024,6.284123735785467,80.32096504939639,1.7928681806709394e-77,80.59022987305757,2.600031793108828,83.19026166616639,49.554321459994114,15.59676009523439,6.758227939546246,82.27103788207295,16.05172580969075,97663.0456892834,0.6340274008970405,0.08016764695418886,0.06336668847196077,0.7775617363231901,
5,30,85,3,13.544756553414638,11.547541850279202,41.35393644484322,7.383756442453956,75.20598362779324,9.107207405020237e-79,41.63651657218267,0.0,41.63651657218267,87.16154038193174,15.330501330610277,9.59023285830151,72.95616420103028,16.477870361538272,94826.71991959376,0.327566907629494,0.0,0.11145623657821653,0.4390231442077105,
10,30,240,9,13.43187284197444,13.424190339447497,18.640401550220638,6.2043169250765375,83.94173538321634,3.4084589882125854e-49,4.510868601711361,3.536943219536474,8.047811821247835,96.3182281219852,20.8285202844638,12.84560508323298,62.32189124661203,20.819364207475807,168949.22278757003,0.03548835013668653,0.10905574926904128,0.123165184705524,0.26770928411125183,
16,30,323,11,19.594090496311455,17.902946312980195,4.583726787886785,19.18659004471799,89.97600359561307,3.499996339186659e-84,82.47815990731378,5.616221207497457,88.09438111481124,31.376056913952723,17.711949856677037,9.244878297834402,83.1815989028886,17.47614057881295,80580.85320356289,0.6488803101712837,0.17316682056450491,0.040121562870153546,0.8621686936059422,
12,30,170,6,12.36884805234665,12.36884805234665,37.43433723008559,10.920272110304317,92.28268652362884,6.976647166785374e-88,0.007221980658021819,0.0,0.007221980658021819,107.7818514126912,24.798938286382338,12.23689206353953,61.042892591151215,25.445444623043425,69963.48721470212,5.68174781626361e-05,0.0,0.13782408476550206,0.1378809022436647,
15,30,0,1,17.048148481472438,12.643616151371518,18.977454580186382,14.624434216280928,82.35673460124616,7.420624806348602e-101,77.62353478973075,11.889143012917957,89.51267780264871,30.743460773516333,14.489294771885529,6.598612066762329,81.5922235094107,14.610763439447398,38079.78121209297,0.6106875248860334,0.36658190956497033,0.03931264204592313,1.016582076496927,
18,30,275,10,20.26076377253867,11.521107137913447,30.65069193383672,11.135942414347918,94.66692957216054,8.781359204631636e-80,11.065871330376133,3.9909021534089115,15.056773483785044,43.98295917252428,20.36455880081256,9.501959880955338,82.47268541712435,20.834790406403794,91698.2610869095,0.0870585137840018,0.12305281639677478,0.05624241014399405,0.2663537403247706,
14,30,201,7,17.95364914715577,12.247581595725887,20.816372580966352,15.28650589509271,76.72976064202066,4.245487341910534e-114,0.0013258131378931874,0.0,0.0013258131378931874,28.432771540817175,29.88202191546477,15.101975520431424,49.138693182838445,30.720880427379242,642.3497275304325,1.0430567814704696e-05,0.0,0.03635789016051654,0.036368320728331245,
13,30,214,8,12.922768124097717,12.922768124097717,26.674023397240216,5.961122376685285,74.29004819268208,7.451902281003667e-34,0.49642712348276646,0.0,0.49642712348276646,122.58982427905875,22.819690218409797,12.436858652466055,57.66468397201798,22.84771497355905,207729.90466324228,0.0039055404027554135,0.0,0.15675951109924552,0.16066505150200094,
11,30,87,3,20.95408533949678,17.591544350623117,37.38787298372941,8.83321162048255,78.66021986835408,2.512023076052349e-41,58.82573651651242,0.0,58.82573651651242,87.47191179472381,21.537764816359747,14.94796559739273,77.29259640039936,22.275673738176504,189024.5827104354,0.46279963325787016,0.0,0.11185311838479872,0.5746527516426689,
17,30,205,7,13.129632533381281,13.129632533381281,13.109248568458568,9.514395902016531,81.05962954116154,2.8563326670700034e-50,1.2411303904294974e-06,0.0,1.2411303904294974e-06,104.90759426636873,23.62969433246114,13.934767194001427,64.54558000075622,24.19957721104068,166685.30406177102,9.764343355985618e-09,0.0,0.13414868064708707,0.13414869041143043,
19,30,114,4,17.857884242567224,12.812260157978487,7.123660449934114,10.022578171637024,87.85388723334626,3.5007250075564553e-38,9.902841324664205,0.8935399517749725,10.796381276439178,95.65812626331055,21.13567346174714,12.24289332355716,78.44252162769222,22.096185093573755,196513.04202004377,0.07790860947366152,0.02755081517972832,0.12232109144370489,0.2277805160970947,
21,30,293,10,20.37875718610171,18.629652011329224,18.46626763979843,9.226229430958725,84.31029098965065,7.38690122489946e-74,74.62788604371106,5.8830896409364035,80.51097568464746,38.8600395698256,19.279259720318358,10.581337323615765,80.22956585110654,19.304059245562406,107150.8835066046,0.5871198617656889,0.18139526392887245,0.04969156975375321,0.8182066954483145,
23,30,62,3,15.237765430627576,12.842756975878164,39.63293967221905,15.336905697109087,93.02180682113246,9.64219316334619e-66,19.73847527230163,0.0,19.73847527230163,61.293234256374085,19.184553350948413,7.618790041715733,83.29729767996243,20.133572850647813,127424.2527016448,0.15528847844559576,0.0,0.07837760998701467,0.23366608843261044,
24,30,140,5,19.972737358985444,19.972737358985444,7.692172238576533,16.550553134086258,85.42337422697143,1.8105492050144276e-113,3.615119712035705,0.0,3.615119712035705,38.46104282279933,31.02074790982619,16.5,54.82352040522718,31.602807350909305,1988.3442942208237,0.028441226170517864,0.0,0.04918135991079226,0.07762258608131012,
26,30,7,1,16.56453402145558,16.56453402145558,23.82615019685146,10.704837621885558,77.37083048165346,2.2016197368581853e-92,88.36177915493978,13.7840049326234,102.14578408756319,34.23116680512854,15.198888357087261,6.994032230542484,81.10230105415896,15.257595532306848,58901.306594213915,0.6951684995127964,0.4250068187558882,0.043772482783836754,1.1639478010525213,
22,30,234,8,10.124671328988446,10.124671328988446,17.511957616068514,5.114828935159777,83.36872319682244,1.7767425042817693e-45,0.49129932907662627,2.260201995104277,2.751501324180903,116.55432223907741,20.581467622649825,9.61765726017753,56.34569523518389,20.373142367220595,176982.74506797653,0.0038651985131146894,0.06968956151571522,0.14904172249329845,0.22259648252212835,
28,30,271,10,17.54577669730871,14.79133632758234,32.60366935076594,13.08252857877962,76.11441141227439,5.404884420410356e-77,36.42798236366622,2.21950092554764,38.64748328921386,50.827291109088804,19.75179985005756,9.020432015681742,74.72104009101211,20.05238283411552,99149.09501465377,0.28658981385633137,0.06843461187105224,0.06499447528876877,0.42001890101615236,
20,30,76,3,10.683679799940116,10.683679799940116,6.610261307168325,10.567526835801836,72.73403572633998,8.381725402952886e-87,36.689120547748075,0.0,36.689120547748075,78.94647063585461,14.71032849198545,8.766510514276062,71.6453649527837,15.891678267226476,74437.77022589336,0.28864426592067205,0.0,0.10095136535734116,0.3895956312780132,
25,30,225,8,10.018574945165343,10.018574945165343,1.2595685806131405,14.154422778604568,70.78919491045532,2.376346210973828e-51,3.5129337596064154,0.08254576997290129,3.5954795295793165,108.2722894640235,23.02797055898091,8.271707117781862,57.504354686864644,23.051059386979098,163875.90315620825,0.027637298772259,0.002545161240831123,0.13845122351542238,0.16863368352851252,
29,30,184,7,13.21928371067271,13.21928371067271,10.858552122593013,19.47612312720062,79.04796661738177,4.430233678970803e-114,0.06132642635474003,0.0,0.06132642635474003,33.43839577938621,30.743134920565733,12.892737643740968,49.51635234347917,31.591756164581785,633.7081873487328,0.00048247330686667506,0.0,0.04275874123440667,0.043241214541273346,
27,30,28,1,19.910689997738558,10.789984284283303,37.043873979849614,18.32570135647879,78.80983710903753,1.1337054959637009e-95,77.34933614780836,9.105181850825339,86.45451799863369,40.29500990905739,14.661486863882212,7.154184369843143,80.82766348015383,15.173571957876725,51966.58676633649,0.6085303223002931,0.28074310706711464,0.05152651201052517,0.940799941377933,
31,30,181,7,11.241904342725842,10.570204468716046,11.080952766190977,13.936902661147721,73.45475245987822,3.571537387063618e-113,0.01071065342555051,0.0,0.01071065342555051,45.49702098032034,26.507801334259582,10.38730289211774,50.132690845127904,28.210331649205713,4552.333997469242,8.426390846641633e-05,0.0,0.058178489179590606,0.05826275308805702,
30,30,163,6,17.71062897672296,11.243597650322174,21.39706982952591,18.61170294105132,94.53123803173423,3.1702446474770786e-114,0.16162007495002398,0.0,0.16162007495002398,27.148538856693055,32.40079895192124,11.130887827262246,42.105978938593836,32.62439411011198,324.4687100930525,0.0012715133858627477,0.0,0.034715700942244215,0.03598721432810696,
33,30,181,7,21.828951693169643,20.618928450914645,34.0168109844841,19.522908036253682,84.56891549111867,2.8841899662556228e-114,1.2675340918399352,0.0,1.2675340918399352,22.776229526679472,36.24613146260996,16.5,41.635075186774145,35.43308937721735,224.61678299686537,0.009972069158551148,0.0,0.029124689804261198,0.039096758962812346,
32,30,270,10,12.744122955599135,12.082530601578505,31.798780669408213,8.214977206036295,84.19859019093234,1.5415478842563757e-77,20.29540789740869,2.0880622108296882,22.383470108238377,59.018252473423004,16.554627105593163,8.072867313803274,73.94883780300869,16.99411870695484,96969.39941146066,0.15967003369525318,0.06438191816724873,0.07546851835439031,0.2995204702168922,
34,30,219,8,12.941274491257872,12.941274491257872,17.071864470742764,9.733976405667246,89.33558529104597,4.504862922880325e-59,3.7215563859400125e-13,0.0,3.7215563859400125e-13,97.99365537992051,24.495052074865434,15.441272337628204,58.447829140359886,24.73520348959444,144210.95922338928,2.927859526379346e-15,0.0,0.12530760687947562,0.12530760687947853,
36,30,116,4,10.435655490465116,10.435655490465116,11.490138527351853,13.456019091215035,92.05520757469014,7.448485657220357e-39,0.37518588911953643,1.4254488963223964,1.800634785441933,95.36968718278467,19.263895001155348,10.04741313280992,78.18474303732081,20.329843373556404,195072.6515890203,0.0029516994120304756,0.04395134096994056,0.1219522552086335,0.16885529559060453,
37,30,191,7,19.433800415376435,15.226352013485489,36.57219834180506,10.806632496561198,87.81231761208916,4.2905009696794954e-114,0.3537628630373371,0.0,0.3537628630373371,28.535573363111464,28.782528980626573,14.788712051195478,50.219176702826125,30.175222899553315,705.9360497071357,0.002783158069393268,0.0,0.036489346123503165,0.039272504192896435,
35,30,233,8,13.05062277498675,13.05062277498675,1.5642340521686777,11.304159634887004,81.0069164535058,3.816465854208277e-48,2.8237959962166213,0.1023075792160604,2.926103575432682,103.5668401851148,22.571144851024695,12.371488152751876,63.40227866440202,22.554157811667956,171990.5999240429,0.022215646226159198,0.0031544836924951958,0.13243421571887862,0.157804345637533,
39,30,24,1,19.055936247926713,18.186251387776185,26.148996735608204,11.811542574636707,81.94364294793871,2.386356132589463e-67,90.41412244192777,6.609355628432345,97.02347807036011,42.42582825696685,16.658929765692104,8.451449122118532,82.5072942140519,16.89404408135308,123536.71146213212,0.7113148969364933,0.20378846520999733,0.05425125726914651,0.969354619415637,
38,30,39,2,19.290467144707474,12.625421745180207,26.26695100414277,15.198818788568865,73.70788058243124,1.0803795144551715e-79,78.31683828742476,1.4145660972061782,79.73140438463093,53.35442687862526,15.57404882378582,6.834504042714473,79.42444587162677,16.169649452014635,92174.22328353988,0.6161419505077018,0.04361578799719049,0.06822600425166347,0.7279837427565558,
40,30,223,8,12.528758064665878,12.42127366928137,25.995460325873818,17.97275307895977,78.33628848173578,6.655197062887656e-114,0.0027522703020102855,1.7241061079521995,1.7268583782542097,35.73224020705854,28.454732171835108,12.39491070457025,46.1985311449697,29.052233259511805,1584.4818955582632,2.165293223382499e-05,0.053159938328526155,0.04569195313135094,0.09887354439211091,
