Time,iGlob,tOut,vpOut,co2Out,wind,tSky,tSoOut,dayRadSum,isDay,isDaySmooth,hElevation
Time since start of data,Outdoor global solar radiation,Outdoor temperature,Outdoor vapor pressure,Outdoor CO2 concentration,Outdoor wind speed,Apparent sky temperature,Soil temperature at 2 m depth,Daily sum of outdoor global solar radiation,Switch determining if it is day or night. Used for control purposes,Smooth switch determining if it is day or night. Used for control purposes,Elevation at location
s,W m**-2,°C,Pa,mg m**-3,m s**-1,°C,°C,MJ m**-2,-,-,m above sea level
64800,0.0,-13.0,155.58842256151888,865.9312661303496,0.0,-40.535382626210065,2.4510576776458874,10.206,0.0,0.0,1612.0
68400,0.0,-13.0,171.37275528515124,865.9312661303496,0.0,-40.535382626210065,2.448632750370389,10.206,0.0,0.0,1612.0
72000,0.0,-15.0,158.9117525971543,872.6400111710652,0.0,-40.88650003052916,2.4462115043129327,10.206,0.0,0.0,1612.0
75600,0.0,-14.0,172.52003222433984,869.2726949018348,1.5,-41.593550851074696,2.4437939407194413,10.206,0.0,0.0,1612.0
79200,0.0,-14.0,172.52003222433984,869.2726949018348,2.6,-41.593550851074696,2.441380060833941,10.206,0.0,0.0,1612.0
82800,0.0,-15.0,174.22854802820535,872.6400111710652,0.0,-41.94951877375621,2.438969865898553,10.206,0.0,0.0,1612.0
86400,0.0,-15.0,174.22854802820535,872.6400111710652,2.1,-41.23921706929343,2.4365633571535117,10.7172,0.0,0.0,1612.0
90000,0.0,-13.0,187.1570880087836,865.9312661303496,0.0,-41.593550851074696,2.4341605358371545,10.7172,0.0,0.0,1612.0
93600,0.0,-13.0,187.1570880087836,865.9312661303496,0.0,-41.593550851074696,2.4317614031859183,10.7172,0.0,0.0,1612.0
97200,0.0,-12.0,185.7787185229293,862.6154274700765,2.6,-41.593550851074696,2.429365960434337,10.7172,0.0,0.0,1612.0
100800,0.0,-11.0,222.43719016510596,859.3248860721362,0.0,-41.593550851074696,2.426974208815057,10.7172,0.0,0.0,1612.0
104400,0.0,-11.0,222.43719016510596,859.3248860721362,1.5,-41.23921706929343,2.424586149558821,10.7172,0.0,0.0,1612.0
108000,0.0,-13.0,171.37275528515124,865.9312661303496,0.0,-40.88650003052916,2.4222017838944634,10.7172,0.0,0.0,1612.0
111600,0.0,-10.0,200.66309729971127,856.0593535390859,1.5,-40.18584803055455,2.419821113048928,10.7172,0.0,0.0,1612.0
115200,89.0,-10.0,200.66309729971127,856.0593535390859,0.0,-40.18584803055455,2.417444138247258,10.7172,1.0,1.0,1612.0
118800,241.0,-7.0,195.5692010781814,846.4099901702441,0.0,-39.14657694779913,2.415070860712583,10.7172,1.0,1.0,1612.0
122400,383.0,-3.0,313.6476997553145,833.8775453777919,0.0,-38.12097126652887,2.412701281666144,10.7172,1.0,1.0,1612.0
126000,478.0,-2.0,343.02003904754076,830.8022086808427,0.0,-36.77404490569259,2.410335402327269,10.7172,1.0,1.0,1612.0
129600,513.0,0.0,335.92900000000003,824.719087987591,0.0,-35.44975805297213,2.407973223913392,10.7172,1.0,1.0,1612.0
133200,486.0,1.0,367.6328140140553,821.710811175672,0.0,-33.824918147908164,2.405614747640027,10.7172,1.0,1.0,1612.0
136800,399.0,0.4,301.78255470527245,823.5131379411827,1.5,-32.5484724459869,2.4032599747207994,10.7172,1.0,1.0,1612.0
140400,264.0,1.0,236.33538043760697,821.710811175672,2.1,-32.23251440808957,2.400908906367424,10.7172,1.0,1.0,1612.0
144000,108.0,1.0,262.59486715289665,821.710811175672,0.0,-32.5484724459869,2.3985615437896994,10.7172,1.0,1.0,1612.0
147600,16.0,-1.0,312.35028960601807,827.7494722903195,1.5,-33.5038911596225,2.3962178881955296,10.7172,1.0,1.0,1612.0
151200,0.0,-2.0,343.02003904754076,830.8022086808427,1.5,-33.184149142618196,2.393877940790907,10.7172,0.0,0.0,1612.0
154800,0.0,-2.0,316.6338821977299,830.8022086808427,2.1,-33.184149142618196,2.391541702779917,10.7172,0.0,0.0,1612.0
158400,0.0,-4.0,363.85951308644695,836.9757342887254,0.0,-33.824918147908164,2.38920917536473,10.7172,0.0,0.0,1612.0
162000,0.0,-4.0,345.6665374321246,836.9757342887254,2.1,-33.5038911596225,2.386880359745615,10.7172,0.0,0.0,1612.0
165600,0.0,-3.0,382.25813407678953,833.8775453777919,0.0,-33.5038911596225,2.3845552571209305,10.7172,0.0,0.0,1612.0
169200,0.0,-5.0,248.885423080164,840.0970310789129,0.0,-33.184149142618196,2.3822338686871154,10.7172,0.0,0.0,1612.0
172800,0.0,-6.0,250.23590566432694,843.2416952416637,0.0,-31.60430181208082,2.379916195638706,10.3716,0.0,0.0,1612.0
176400,0.0,-5.0,248.885423080164,840.0970310789129,2.6,-31.60430181208082,2.377602239168329,10.3716,0.0,0.0,1612.0
180000,0.0,-4.0,341.118293518544,836.9757342887254,1.5,-31.29202488575632,2.375292000466686,10.3716,0.0,0.0,1612.0
183600,0.0,-6.0,230.68622553430137,843.2416952416637,0.0,-30.980952892303662,2.372985480722579,10.3716,0.0,0.0,1612.0
187200,0.0,-6.0,250.23590566432694,843.2416952416637,2.1,-30.671075038896646,2.3706826811228874,10.3716,0.0,0.0,1612.0
190800,0.0,-4.0,245.6051713333517,836.9757342887254,0.0,-30.36238068385134,2.368383602852586,10.3716,0.0,0.0,1612.0
194400,0.0,-5.0,274.1958050883163,840.0970310789129,1.5,-30.054859333754592,2.366088247094721,10.3716,0.0,0.0,1612.0
198000,0.0,-5.0,274.1958050883163,840.0970310789129,3.6,-29.74850064066098,2.3637966150304326,10.3716,0.0,0.0,1612.0
201600,85.0,-3.0,245.03726543383942,833.8775453777919,0.0,-29.4432943993568,2.361508707838947,10.3716,1.0,1.0,1612.0
205200,232.0,0.0,354.25239999999997,824.719087987591,0.0,-28.83629914895596,2.359224526697564,10.3716,1.0,1.0,1612.0
208800,370.0,0.3,349.54480300702727,823.8142946930351,0.0,-27.934202447068373,2.3569440727816735,10.3716,1.0,1.0,1612.0
212400,461.0,3.0,416.38251513486085,815.7596193511152,0.0,-26.452468576296866,2.3546673472647477,10.3716,1.0,1.0,1612.0
216000,496.0,3.6,434.37412172000006,813.9910348105166,0.0,-23.56662667270851,2.352394351318334,10.3716,1.0,1.0,1612.0
219600,471.0,5.1,447.30506668581114,809.6029429786539,1.5,-22.439810789428606,2.3501250861120653,10.3716,1.0,1.0,1612.0
223200,388.0,6.0,448.0494260219059,806.9927239255256,1.5,-21.604562610411307,2.347859552813655,10.3716,1.0,1.0,1612.0
226800,256.0,5.7,429.722113792017,807.8609248119436,1.5,-21.32798667055198,2.3455977525888985,10.3716,1.0,1.0,1612.0
230400,106.0,3.8,432.5124351331271,813.4032095461653,2.1,-21.32798667055198,2.343339686601662,10.3716,1.0,1.0,1612.0
234000,16.0,1.3,442.7123041672525,820.8126029652412,2.1,-21.882053862746943,2.3410853560138962,10.3716,1.0,1.0,1612.0
237600,0.0,6.0,634.7366868643668,806.9927239255256,0.0,-22.439810789428606,2.3388347619856322,10.3716,0.0,0.0,1612.0
241200,0.0,8.0,759.8864180771845,801.2520678776825,2.6,-23.283491364033864,2.3365879056749694,10.3716,0.0,0.0,1612.0
244800,0.0,3.0,529.9413828989137,815.7596193511152,2.6,-23.850728867132347,2.3343447882380906,10.3716,0.0,0.0,1612.0
248400,0.0,4.0,552.3409713499103,812.8162326675464,2.1,-24.13580568686018,2.332105410829258,10.3716,0.0,0.0,1612.0
252000,0.0,4.0,544.2183100065292,812.8162326675464,2.1,-24.42186496924782,2.3298697746007972,10.3716,0.0,0.0,1612.0
255600,0.0,6.0,616.0679607801206,806.9927239255256,4.1,-24.708914651145108,2.3276378807031213,10.3716,0.0,0.0,1612.0
